entry_cohort,from_publication_number,to_publication_number,publication_transition,number_of_authors,average_gap_years,median_gap_years,share_same_year
1991-2000,10,11,10 to 11,7,2.0,2.0,0.142857
1991-2000,11,12,11 to 12,6,0.666667,0.5,0.5
1991-2000,12,13,12 to 13,5,5.0,6.0,0.2
1991-2000,13,14,13 to 14,3,0.333333,0.0,0.666667
1991-2000,14,15,14 to 15,2,0.5,0.5,0.5
1991-2000,15,16,15 to 16,2,1.5,1.5,0.0
1991-2000,16,17,16 to 17,1,1.0,1.0,0.0
1991-2000,17,18,17 to 18,1,2.0,2.0,0.0
1991-2000,18,19,18 to 19,1,4.0,4.0,0.0
1991-2000,19,20,19 to 20,1,1.0,1.0,0.0
1991-2000,20,21,20 to 21,1,1.0,1.0,0.0
1991-2000,21,22,21 to 22,1,3.0,3.0,0.0
1991-2000,22,23,22 to 23,1,1.0,1.0,0.0
1991-2000,23,24,23 to 24,1,1.0,1.0,0.0
1991-2000,24,25,24 to 25,1,0.0,0.0,1.0
1991-2000,25,26,25 to 26,1,1.0,1.0,0.0
1991-2000,26,27,26 to 27,1,2.0,2.0,0.0
2001-2010,1,2,1 to 2,302,5.81457,4.0,0.039735
2001-2010,2,3,2 to 3,167,4.0,3.0,0.083832
2001-2010,3,4,3 to 4,109,3.385321,2.0,0.110092
2001-2010,4,5,4 to 5,71,3.676056,3.0,0.112676
2001-2010,5,6,5 to 6,53,3.0,3.0,0.09434
2001-2010,6,7,6 to 7,40,2.5,2.0,0.1
2001-2010,7,8,7 to 8,22,1.954545,1.5,0.227273
2001-2010,8,9,8 to 9,16,2.0,2.0,0.25
2001-2010,9,10,9 to 10,11,2.363636,1.0,0.090909
2001-2010,10,11,10 to 11,6,1.166667,0.5,0.5
2001-2010,11,12,11 to 12,3,1.0,1.0,0.333333
2001-2010,12,13,12 to 13,2,0.5,0.5,0.5
2001-2010,13,14,13 to 14,2,0.5,0.5,0.5
2001-2010,14,15,14 to 15,2,2.5,2.5,0.0
2001-2010,15,16,15 to 16,2,0.0,0.0,1.0
2001-2010,16,17,16 to 17,2,1.0,1.0,0.0
2001-2010,17,18,17 to 18,2,0.5,0.5,0.5
2001-2010,18,19,18 to 19,2,2.0,2.0,0.0
2001-2010,19,20,19 to 20,2,1.5,1.5,0.0
2001-2010,20,21,20 to 21,2,0.0,0.0,1.0
2001-2010,21,22,21 to 22,2,2.0,2.0,0.0
2001-2010,22,23,22 to 23,2,1.5,1.5,0.0
2001-2010,23,24,23 to 24,2,0.5,0.5,0.5
2001-2010,24,25,24 to 25,2,1.0,1.0,0.0
2001-2010,25,26,25 to 26,1,0.0,0.0,1.0
2001-2010,26,27,26 to 27,1,1.0,1.0,0.0
2011-2020,1,2,1 to 2,309,3.925566,3.0,0.084142
2011-2020,2,3,2 to 3,145,2.572414,2.0,0.131034
2011-2020,3,4,3 to 4,77,2.480519,2.0,0.103896
2011-2020,4,5,4 to 5,36,1.888889,1.5,0.194444
2011-2020,5,6,5 to 6,19,1.789474,2.0,0.263158
2011-2020,6,7,6 to 7,17,1.117647,1.0,0.411765
2011-2020,7,8,7 to 8,10,1.4,1.0,0.3
2011-2020,8,9,8 to 9,4,1.75,1.5,0.25
2011-2020,9,10,9 to 10,3,1.0,1.0,0.333333
2011-2020,10,11,10 to 11,2,0.5,0.5,0.5
2011-2020,11,12,11 to 12,2,1.0,1.0,0.5
2011-2020,12,13,12 to 13,1,1.0,1.0,0.0
