entry_cohort,from_publication_number,to_publication_number,publication_transition,number_of_authors,average_gap_years,median_gap_years,share_same_year
2001-2010,2,3,2 to 3,169,3.91716,3.0,0.106509
2001-2010,3,4,3 to 4,107,3.17757,3.0,0.186916
2001-2010,4,5,4 to 5,78,3.025641,2.0,0.153846
2001-2010,5,6,5 to 6,51,2.686275,2.0,0.176471
2001-2010,6,7,6 to 7,36,1.805556,2.0,0.166667
2001-2010,7,8,7 to 8,32,1.625,1.0,0.34375
2001-2010,8,9,8 to 9,23,2.173913,2.0,0.086957
2001-2010,9,10,9 to 10,17,1.294118,1.0,0.470588
2001-2010,10,11,10 to 11,14,2.214286,1.5,0.071429
2001-2010,11,12,11 to 12,10,1.2,1.0,0.3
2001-2010,12,13,12 to 13,8,2.375,2.0,0.125
2001-2010,13,14,13 to 14,4,2.0,2.0,0.25
2001-2010,14,15,14 to 15,3,1.333333,0.0,0.666667
2001-2010,15,16,15 to 16,1,2.0,2.0,0.0
2001-2010,16,17,16 to 17,1,0.0,0.0,1.0
2001-2010,17,18,17 to 18,1,0.0,0.0,1.0
2001-2010,18,19,18 to 19,1,1.0,1.0,0.0
2001-2010,19,20,19 to 20,1,1.0,1.0,0.0
2001-2010,20,21,20 to 21,1,5.0,5.0,0.0
2001-2010,21,22,21 to 22,1,0.0,0.0,1.0
2001-2010,22,23,22 to 23,1,1.0,1.0,0.0
2001-2010,23,24,23 to 24,1,0.0,0.0,1.0
2011-2020,1,2,1 to 2,432,3.835648,3.0,0.104167
2011-2020,2,3,2 to 3,186,3.037634,2.0,0.102151
2011-2020,3,4,3 to 4,102,2.627451,2.0,0.098039
2011-2020,4,5,4 to 5,45,2.288889,2.0,0.155556
2011-2020,5,6,5 to 6,28,1.428571,1.0,0.214286
2011-2020,6,7,6 to 7,17,1.470588,1.0,0.294118
2011-2020,7,8,7 to 8,7,2.428571,2.0,0.0
2011-2020,8,9,8 to 9,5,1.4,1.0,0.4
2011-2020,9,10,9 to 10,3,1.333333,1.0,0.0
2011-2020,10,11,10 to 11,2,1.0,1.0,0.0
2011-2020,11,12,11 to 12,2,1.0,1.0,0.5
2011-2020,12,13,12 to 13,2,1.0,1.0,0.0
2011-2020,13,14,13 to 14,1,1.0,1.0,0.0
2011-2020,14,15,14 to 15,1,1.0,1.0,0.0
2011-2020,15,16,15 to 16,1,1.0,1.0,0.0
2011-2020,16,17,16 to 17,1,0.0,0.0,1.0
2011-2020,17,18,17 to 18,1,0.0,0.0,1.0
2011-2020,18,19,18 to 19,1,2.0,2.0,0.0
2011-2020,19,20,19 to 20,1,0.0,0.0,1.0
2011-2020,20,21,20 to 21,1,1.0,1.0,0.0
